Identifier,LAKE,TOWN,Noted.Location,Dominant.Taxa,Total.Cell.Concentration,Date.Advisory.Issued,Date.Advisory.Removed,Advisory.Days,AUID,Notification.Type
Webster.Franklin,Webster Lake ,Franklin,,unidentified,">70,000 or >50%",9/11/2003,9/26/2003,15,NHLAK700010804-02-01,Warning
Baboosic.Amherst,Baboosic Lake,Amherst,,Anabaena,">70,000 or >50%",7/8/2004,9/6/2004,60,NHLAK700060905-01-01,Warning
Greenwood.Kingston,Greenwood Pond,Kingston,,Oscillatoria,">70,000 or >50%",7/8/2004,7/23/2004,15,NHLAK700061403-07,Warning
Country.Kingston,Country Pond,"Kingston, Newton",,Microcystis,">70,000 or >50%",7/29/2004,8/6/2004,8,NHLAK700061403-03-01,Warning
Robinson.Hudson,Robinson Pond,Hudson,,unidentified,">70,000 or >50%",8/18/2004,9/3/2004,16,NHLAK700061203-06-01,Warning
Long.Pelham,Long Pond,Pelham,,Microcystis,">70,000 or >50%",7/26/2005,10/1/2005,67,NHLAK700061205-02-01,Warning
York.Berlin,York Pond,Berlin,,Aphanizomenon,">70,000 or >50%",8/3/2005,9/20/2005,48,NHLAK801010701-02,Warning
Greenwood.Kingston,Greenwood Pond,Kingston,,unidentified,">70,000 or >50%",8/5/2005,9/30/2005,56,NHLAK700061403-07,Warning
Country.Kingston,Country Pond,"Kingston, Newton",,Microcystis,">70,000 or >50%",8/9/2005,8/26/2005,17,NHLAK700061403-03-01,Warning
Baboosic.Amherst,Baboosic Lake,Amherst,,Oscillatoria,">70,000 or >50%",8/16/2005,8/19/2005,3,NHLAK700060905-01-01,Warning
Turtle.Concord,Turtle Pond,Concord,,Anabaena,">70,000 or >50%",9/29/2005,10/7/2005,8,NHLAK700060302-08,Warning
Monomonac.Rindge,"Monomonac, Lake",Rindge,,Anabaena,">70,000 or >50%",6/7/2006,6/26/2006,19,NHLAK802020103-06,Warning
Pool.Rindge,Pool Pond,Rindge,,Anabaena,">70,000 or >50%",6/11/2006,6/19/2006,8,NHLAK700030101-12,Warning
Showell.Sandown,Showell Pond,Sandown,,Anabaena,">70,000 or >50%",6/19/2006,10/23/2006,126,NHLAK600030802-04,Warning
French.Henniker,French Pond,Henniker,,Aphanizomenon,">70,000 or >50%",6/19/2006,10/23/2006,126,NHLAK700030504-02-01,Warning
Sondogardy.Northfield,Sondogardy Pond,Northfield,,Oscillatoria,">70,000 or >50%",7/6/2006,7/14/2006,8,NHLAK700060101-02-01,Warning
Hunkins.Sanbornton,Hunkins Pond,Sanbornton,,Anabaena,">70,000 or >50%",7/20/2006,10/23/2006,95,NHLAK700020201-02,Warning
Turtle.Concord,Turtle Pond,Concord,,Anabaena,">70,000 or >50%",7/24/2006,10/23/2006,91,NHLAK700060302-08,Warning
Long.Pelham,Long Pond,Pelham,,unidentified,">70,000 or >50%",8/5/2006,8/21/2006,16,NHLAK700061205-02-01,Warning
Sondogardy.Northfield,Sondogardy Pond,Northfield,,unidentified,">70,000 or >50%",8/17/2006,9/4/2006,18,NHLAK700060101-02-01,Warning
Baboosic.Amherst,Baboosic Lake,Amherst,,Oscillatoria,">70,000 or >50%",8/17/2006,9/8/2006,22,NHLAK700060905-01-01,Warning
Country.Kingston,Country Pond,"Kingston, Newton",,Microcystis,">70,000 or >50%",8/17/2006,9/12/2006,26,NHLAK700061403-03-01,Warning
Phillips.Sandown,Phillips Pond,Sandown,,unidentified,">70,000 or >50%",8/25/2006,9/8/2006,14,NHLAK600030802-03-01,Warning
Willand.Somersworth,Willand Pond,Somersworth,,Unidentified,">70,000 or >50%",7/12/2007,10/11/2007,91,NHLAK600030405-03,Warning
